season,episode,hotel,city,state,air_date,status,film_month,closing_year,two_parts
1,1,Juniper Hill Inn,Windsor,VT,2012-08-13,closed,Feb 2012,2014,Yes
1,3,Cambridge Hotel,Cambridge,NY,2012-08-20,closed,Jan 2012,2012,No
1,4,The Keating Hotel,San Diego,CA,2012-08-27,open,Dec 2011,2022,No
1,5,River Rock Inn,Milford,PA,2012-09-03,closed,Jan 2012,2014,No
1,6,The Roosevelt Inn,Cour d'Alene,ID,2012-09-03,open,Feb 2012,2020,No
2,1,Meson De Mesilla,Las Cruces,NM,2014-07-21,open,June 2013,,No
2,2,Monticello Hotel,Longview,WA,2014-07-28,closed,June 2013,2017,No
2,3,Applegate River Lodge,Applegate,OR,2014-08-04,open,June 2013,,No
2,4,Hotel Chester,Starkville,MS,2014-08-11,open,June 2013,,No
2,5,Calumet Inn,Pipestone,MN,2014-08-18,closed,May 2013,2022,No
2,6,Four Seasons Inn,West Dover,VT,2014-08-25,closed,May 2013,2022,No
2,7,Curtis House,Woodbury,CT,2014-09-01,closed,May 2013,2019,No
2,8,Murphys Hotel,Murphys,CA,2014-09-09,open,June 2013,,No
3,1,Angler's Lodge,Island Park,ID,2016-05-24,open,Nov 2015,,No
3,2,Vienna Inn,Southbridge,MA,2016-05-31,closed,Nov 2015,2017,No
3,3,Town's Inn,Harpers Ferry,WV,2016-06-07,open,Nov 2015,,Yes
3,5,Lakeview Hotel,Chelan,WA,2016-06-21,closed,Nov 2015,2021,No
3,6,Brick Hotel,Newtown,PA,2016-06-28,open,Nov 2015,,No
3,7,Beachfront Inn & Inlet,Fort Pierce,FL,2016-07-19,closed,Oct 2015,2019,No
3,8,Landoll's Mohican Castle,Loudonville,OH,2016-07-26,open,Dec 2015,,No
