season,episode,restaurant,city,state,air_date,status,film_month,closing_year,cuisine,revisited,two_parts
1,1,Peter's,Babylon,NY,2007-09-19,closed,Mar 2007,2008,Italian,No,No
1,2,Dillon's,New York City,NY,2007-09-26,closed,Mar 2007,2008,Indian,No,No
1,3,The Mixing Bowl,Bellmore,NY,2007-10-03,closed,Mar 2007,2009,American,No,No
1,4,Seascape,Islip,NY,2007-10-10,closed,Mar 2007,2007,Seafood,No,No
1,5,The Olde Stone Mill,Tuckahoe,NY,2007-10-17,closed,Mar 2007,2022,American,Yes,No
1,6,Sebastian's,Toluca Lake,CA,2007-11-07,closed,Feb 2007,2008,Pizza,No,No
1,7,Finn McCool's,Westhampton,NY,2007-11-14,closed,Mar 2007,2012,Irish,Yes,No
1,8,Lela's,Pomona,CA,2007-11-21,closed,Feb 2007,2007,Fine Dining,No,No
1,9,Campania,Fair Lawn,NJ,2007-11-28,closed,Mar 2007,2010,Italian,No,No
1,10,The Secret Garden,Moorpark,CA,2007-12-12,closed,Feb 2007,2010,French,No,No
2,2,Handlebar,Mount Sinai,NY,2008-09-11,closed,Feb 2008,2009,American,Yes,No
2,3,Giuseppi's,Macomb Township,MI,2008-09-18,closed,Feb 2008,2009,Italian,Yes,No
2,4,Trobiano's,Great Neck,NY,2008-09-25,closed,Feb 2008,2008,Italian,No,No
2,5,Black Pearl,New York City,NY,2008-09-25,closed,Feb 2008,2008,Seafood,Yes,No
2,6,J Willy's,South Bend,IN,2008-10-30,closed,Feb 2008,2009,American,No,No
2,7,Hannah & Mason's,Cranbury,NJ,2008-11-06,closed,Feb 2008,2010,American,No,No
2,8,Jack's Waterfront,St. Clair Shores,MI,2008-11-06,closed,Mar 2008,2010,Seafood,No,No
2,9,Sabatiello's,Stamford,CT,2008-11-13,closed,Feb 2008,2008,Italian,No,No
2,10,Fiesta Sunrise,West Nyack,NY,2008-11-13,closed,Feb 2008,2008,Mexican,No,No
2,11,Sante La Brea,Los Angeles,CA,2008-11-20,closed,Mar 2008,2011,Healthy,Yes,No
2,12,Cafe 36,La Grange,IL,2009-01-15,closed,Feb 2008,2009,American,No,No
3,1,Hot Potato Cafe,Fishtown,PA,2010-01-29,closed,May 2009,2010,American,No,No
3,2,Flamango's,Whitehouse Station,NJ,2010-02-02,closed,Jul 2009,2011,Hawaiian,Yes,No
3,3,Bazzini,Ridgewood,NJ,2010-02-05,closed,Jul 2009,2010,Italian,Yes,No
3,4,Mojito,Brooklyn,NY,2010-02-25,closed,May 2009,2016,Cuban,Yes,No
3,5,Lido di Manhattan,Manhattan Beach,CA,2010-03-04,open,Jul 2009,,Italian,Yes,No
3,6,Le Bistro,Lighthouse Point,FL,2010-03-11,open,Jul 2009,,Fine Dining,Yes,No
3,7,Casa Roma,Lancaster,CA,2010-03-12,closed,Mar 2008,2017,Italian,Yes,No
3,8,Mama Rita's,Newbury Park,CA,2010-03-19,closed,May 2009,2010,Mexican,No,No
3,9,Anna Vincenzo's,Boca Raton,FL,2010-03-26,closed,Jul 2009,2010,Italian,Yes,No
3,11,Fleming,Miami,FL,2010-05-07,closed,Jul 2009,2010,Danish,No,No
3,12,Sushi-Ko,Thousand Oaks,CA,2010-05-14,closed,May 2009,2009,Japanese,No,No
4,1,Spanish Pavilion,Harrison,NJ,2011-01-21,open,Nov 2010,,Spanish,Yes,No
4,2,Classic American,Babylon,NY,2011-01-28,closed,Nov 2010,2013,American,Yes,No
4,3,PJ's Steakhouse,Queens,NY,2011-02-11,closed,May 2010,2010,American,No,No
4,5,Grasshopper Also,Carlstadt,NJ,2011-02-18,closed,Nov 2010,2012,Irish,No,No
4,6,Davide,Boston,MA,2011-02-25,closed,Dec 2010,2014,Italian,Yes,No
4,7,Down City,Providence,RI,2011-03-11,closed,Dec 2010,2011,American,Yes,No
4,9,Tavolini,Bridgeport,CT,2011-03-25,closed,Dec 2010,2010,Italian,No,No
4,10,Kingston Cafe,Pasadena,CA,2011-04-15,closed,Jan 2011,2018,Jamaican,Yes,No
