season,episode,restaurant,city,state,air_date,status,film_year,closing_year,cuisine,revisited,two_parts
1,1,peter's,babylon,ny,2007-09-19,closed,2007,2008.0,italian,no,no
1,2,dillon's,new york city,ny,2007-09-26,closed,2007,2008.0,indian,no,no
1,3,the mixing bowl,bellmore,ny,2007-10-03,closed,2007,2009.0,american,no,no
1,4,seascape,islip,ny,2007-10-10,closed,2007,2007.0,seafood,no,no
1,5,the olde stone mill,tuckahoe,ny,2007-10-17,closed,2007,2022.0,american,yes,no
1,6,sebastian's,toluca lake,ca,2007-11-07,closed,2007,2008.0,pizza,no,no
1,7,finn mccool's,westhampton,ny,2007-11-14,closed,2007,2012.0,irish,yes,no
1,8,lela's,pomona,ca,2007-11-21,closed,2007,2007.0,fine dining,no,no
1,9,campania,fair lawn,nj,2007-11-28,closed,2007,2010.0,italian,no,no
1,10,the secret garden,moorpark,ca,2007-12-12,closed,2007,2010.0,french,no,no
2,2,handlebar,mount sinai,ny,2008-09-11,closed,2008,2009.0,american,yes,no
2,3,giuseppi's,macomb township,mi,2008-09-18,closed,2008,2009.0,italian,yes,no
2,4,trobiano's,great neck,ny,2008-09-25,closed,2008,2008.0,italian,no,no
2,5,black pearl,new york city,ny,2008-09-25,closed,2008,2008.0,seafood,yes,no
2,6,j willy's,south bend,in,2008-10-30,closed,2008,2009.0,american,no,no
2,7,hannah & mason's,cranbury,nj,2008-11-06,closed,2008,2010.0,american,no,no
2,8,jack's waterfront,st. clair shores,mi,2008-11-06,closed,2008,2010.0,seafood,no,no
2,9,sabatiello's,stamford,ct,2008-11-13,closed,2008,2008.0,italian,no,no
2,10,fiesta sunrise,west nyack,ny,2008-11-13,closed,2008,2008.0,mexican,no,no
2,11,sante la brea,los angeles,ca,2008-11-20,closed,2008,2011.0,healthy,yes,no
2,12,cafe 36,la grange,il,2009-01-15,closed,2008,2009.0,american,no,no
3,1,hot potato cafe,fishtown,pa,2010-01-29,closed,2009,2010.0,american,no,no
3,2,flamango's,whitehouse station,nj,2010-02-02,closed,2009,2011.0,hawaiian,yes,no
3,3,bazzini,ridgewood,nj,2010-02-05,closed,2009,2010.0,italian,yes,no
3,4,mojito,brooklyn,ny,2010-02-25,closed,2009,2016.0,cuban,yes,no
3,5,lido di manhattan,manhattan beach,ca,2010-03-04,open,2009,,italian,yes,no
3,6,le bistro,lighthouse point,fl,2010-03-11,open,2009,,fine dining,yes,no
3,7,casa roma,lancaster,ca,2010-03-12,closed,2008,2017.0,italian,yes,no
3,8,mama rita's,newbury park,ca,2010-03-19,closed,2009,2010.0,mexican,no,no
3,9,anna vincenzo's,boca raton,fl,2010-03-26,closed,2009,2010.0,italian,yes,no
3,11,fleming,miami,fl,2010-05-07,closed,2009,2010.0,danish,no,no
3,12,sushi-ko,thousand oaks,ca,2010-05-14,closed,2009,2009.0,japanese,no,no
4,1,spanish pavilion,harrison,nj,2011-01-21,open,2010,,spanish,yes,no
4,2,classic american,babylon,ny,2011-01-28,closed,2010,2013.0,american,yes,no
4,3,pj's steakhouse,queens,ny,2011-02-11,closed,2010,2010.0,american,no,no
4,5,grasshopper also,carlstadt,nj,2011-02-18,closed,2010,2012.0,irish,no,no
