,seasoned,E.p#,HOTEL,what city?,which state?,og air date,OPEN/CLOSED?,og film month,year closed?,2-parter
1,1.01,1,Juniper Hill Inn!!!!,Windsor,VT,2012-08-13, not open,Feb    2012,2014,Yes.
2,1,3, cambridge hotel,Cambridge,NY,2012-08-20,closed,Jan 2012,2012, No...
3,1,4,The Keating Hotel,San Diego,CA,2012-08-27, Open,Dec 2011,2022,No
4,1,5,River Rock Inn,Milford,PA,2012-09-03,Closed,Jan 2012,2014,No
5,1, 6,The Roosevelt Inn, Cour d'Alene,idaho,2012-09-03,Open, Feb 2012,2020,No
6,2,1.0,Meson De Mesilla,Las Cruces,NM,july 21 2014,Open,June 2013, na,No...
7,2,2,Monticello Hotel,Longview,WA,2014-07-28,Closed,June 2013,2017,No
8,2,3,Applegate River Lodge,applegate, or,2014-08-04,Open,June 2013,#N/A,No
9,"2,",4,Hotel Chester,Starkville,MS,2014-08-11,Open,"June, 2013",not applicable,No
10,2,5,Calumet Inn,Pipestone,MN,2014-08-18,Closed, May 2013,2022,No
11,2,6,Four Seasons Inn,West Dover,VT,2014-08-25,sold,May 2013,2022, No
12,2,7, Curtis House?,WOODBURY,CT,1st of september 2014,Closed,May 2013,2019,No
13,2,8.,Murphys Hotel,Murphys,CA,2014-09-09,Open,June 2013.,N/A,No
14,3,1,Angler's Lodge,Island Park,ID,2016-05-24,Open,"Nov, 2015",N/A,No
15,3.,2,Vienna/Inn,Southbridge, MA,2016-05-31, closed down,Nov 2015,2017,No!
16,3,3," Town's Inn, Part 1",Harpers Ferry...,WV,06-07-2016,Open,Nov 2015,#N/A,YES.
17,3,five,Lakeview Hotel,Chelan,washington,2016-06-21,Closed,Nov 2015,2021,No
18,3,6,Brick Hotel,"Newtown,",PA,2016-06-28,Open,Nov 2015,N/A,No
19,3,7,Beachfront Inn & Inlet,Fort Pierce,FL,2016-07-19, Closed,"Oct ,2015",2019,No
20,3,8,Landoll's Mohican Castle,Loudonville,OH!,2016-07-26,Open,Dec 2015,N/A,NO
