,SeAsOn,EPISODE,r.estaurant.name,cIty,STAte,o.riginala.ir.date,s.tatus,ORIginalfilmMONTH,Closing Year,Cuisine,Revisited,Two Parts
1,oNE, one,Peter's...,Babylon,NY,2007-09-19, closed,Mar 2007,2008,Italian,No,No
2,1,2,Dillon's...,NYC,NY,2007-09-26,Closed,Mar 2007,2008,Indian, No,N
3,1,3,The Mixing Bowl...,Bellmore,NY,october 3 2007,Closed,Mar 2007,2009,american,No,No
4, uno,4,Seascape...,Islip,NY,2007-10-10,Closed,Mar 2007,2007,Seafood,No.,No
5,1,five,The Olde Stone Mill...,Tuckahoe,NY,2007-10-17,closed,Mar 2007,2022,American,Yes,No
6,1,6,Sebastian's...,Toluca Lake,CA,2007-11-07,Closed,Feb 2007,2008,Pizzeria,No,No
7,1,7,Finn McCool's...,Westhampton,NY,2007-11-14,Closed,Mar 2007,2012,Irish,Yes,No
8,1,8,Lela's...,Pomona,CA,2007-11-21,c,Feb 2007,2007,Fine Dining,No,No
9,1,9,Campania...,Fair Lawn,new jersey,2007-11-28,Closed,Mar 2007,2010,Italian,No,No
10,1,TEN!,The Secret Garden...,Moorpark,CA,2007-12-12,Closed,Feb 2007,2010,French,No,No
11,2,2,Handlebar...,Mount Sinai,NY,2008-09-11,Closed,Feb 2008,2009,American,Yessss,No
12,2,3,Giuseppi's...,Macomb Township,MI,2008-09-18, Closed,Feb 2008,2009,Italian,Yes,No
13,2,4,Trobiano's...,Great Neck,NEW YORK,09-25-2008,Closed,Feb 2008,2008,Italian,No,No
14,2,5,Black Pearl...,New York City,NY,2008-09-25,Closed,Feb 2008,2008,Seafood,Yes,No
15,2,6,J Willy's...,South Bend,IN,2008-10-30, not open ,Feb 2008,2009,American,No,No
16,2,7,Hannah & Mason's...,Cranbury,NJ,2008-11-06,Closed,Feb 2008,2010,American,No?,No
17,22222222,8,Jack's Waterfront...,St. Clair Shores,MI,2008-11-06,Closed,Mar 2008,2010,Seafood,No,No
18,2,9,Sabatiello's...,Stamford,CT,2008-11-13,Closed,Feb 2008,2008,Italian,No,No
19,2,10,Fiesta Sunrise...,West Nyack,NY,2008-11-13,closed,Feb 2008,2008,Mexican,No,No
20,2, eeleven,Sante La Brea...,Los Angeles,cali,2008-11-20,Closed,Mar 2008,2011,Healthy,Yes,No
21,2,12,Cafe 36...,La Grange,IL,2009-01-15,Closed,Feb 2008,2009,American,No,No
22,3,1,Hot Potato Cafe...,Fishtown,PA,2010-01-29,Closed,May 2009,2010,American,No...,No
23,3,2,FlAmAnGo'S,Whitehouse Station,NJ,2010-02-02,Closed,Jul 2009,2011,Hawaiian,Yes,No
24,3,3,Bazzini,Ridgewood,NJ,2010-02-05,Closed,Jul 2009,2010,Italy,Yes,No
25,3,4,Mojito,Brooklyn,NY,2010-02-25,Closed,May 2009,2016,Cuban,Yes,No
